Lat,Long,SignalStrength
32.825524933333334,-117.07866283333334,167.7
32.82549625,-117.07894701666666,165.5
32.82527176666667,-117.07914146666667,160.9
32.82481165,-117.07929568333333,158.1
32.824327,-117.0796246,157.5
32.824022883333335,-117.07991143333334,155.9
32.823754816666664,-117.0802307,155.1
32.823384833333336,-117.0806656,157.1
32.823026416666664,-117.08118758333333,156.7
32.82267436666667,-117.0818157,157.6
32.82238516666666,-117.0823471,154.9
32.822196633333334,-117.08320365,147.5
32.82228535,-117.08383496666667,144.6
32.822585116666666,-117.08447838333333,141.1
32.82300073333333,-117.08514943333333,140.2
32.82334743333333,-117.0857939,138.1
32.823578033333334,-117.0865055,135.5
32.82363491666667,-117.08705178333334,136.2
32.82361976666667,-117.08731066666667,135.9
32.823882516666664,-117.08743098333333,133.8
32.82427776666667,-117.08756465,131.8
32.82467475,-117.0877381,128.0
32.82495316666667,-117.08775051666667,127.6
32.825341,-117.08764346666666,126.8
32.82573156666667,-117.08742656666666,125.9
32.82608236666667,-117.08702278333334,127.4
32.826337816666666,-117.08656693333333,127.0
32.8264067,-117.08620235,128.0
32.82636458333333,-117.08569428333334,130.5
32.826178133333336,-117.08522575,127.9
32.82588695,-117.08475171666667,129.4
32.82565126666667,-117.08437323333334,132.9
32.825400216666665,-117.08400138333333,133.9
32.825151016666666,-117.08357051666667,138.7
32.82492965,-117.08303493333334,138.2
32.824784433333335,-117.08255905,138.1
32.82517115,-117.08234865,138.7
32.82564905,-117.08219555,139.8
32.826112933333334,-117.08187,142.4
32.82640125,-117.08161583333333,141.9
32.82644395,-117.08157961666667,140.7
32.8265637,-117.0815322,142.4
32.826849366666664,-117.08185201666667,143.2
32.82731655,-117.08256626666666,145.6
32.82777345,-117.08331965,148.0
32.82813923333333,-117.08388718333333,147.0
32.8285224,-117.08372011666667,147.3
32.82900668333333,-117.08333328333333,148.3
32.829081,-117.08306971666667,150.2
32.8288833,-117.08267348333334,155.3
32.828871633333335,-117.0821797,159.1
32.82910521666667,-117.08161771666667,161.3
32.8292656,-117.08101308333333,165.3
32.82926363333333,-117.08050078333333,166.3
32.82908153333333,-117.07993495,172.0
32.8287527,-117.07954115,175.6
32.8283044,-117.07937301666666,177.7
32.827722816666665,-117.07950911666667,173.8
32.827154283333336,-117.07986273333333,168.8
32.82689356666667,-117.08005511666667,167.8
32.82671186666666,-117.07998621666667,170.5
32.8264278,-117.07950301666666,172.9
32.826169666666665,-117.07881718333333,175.1
32.826128866666664,-117.07805993333334,183.3
32.82616276666667,-117.07735336666667,194.2
32.826378,-117.0768891,198.0
32.82688376666667,-117.07660261666666,201.4
32.82744616666667,-117.07654671666667,203.2
32.828050266666665,-117.07635373333333,204.8
32.82849495,-117.07608098333333,206.6
32.82876508333333,-117.07629215,207.3
32.82886738333333,-117.076695,211.0
32.828577816666666,-117.0771366,212.0
32.82814198333333,-117.07740301666666,210.2
32.82764695,-117.07764393333333,208.4
32.827078316666665,-117.07779093333333,208.0
32.8265935,-117.07764858333333,208.2
32.82634541666667,-117.07749893333333,205.6
32.826203983333336,-117.07769191666667,197.6
32.82614288333333,-117.07835568333333,186.3
32.826314583333335,-117.07916216666666,179.6
32.82670351666667,-117.07989153333334,174.3
32.827014633333334,-117.08048015,168.2
32.82697988333334,-117.08108545,159.9
32.826738416666664,-117.0814162,153.9
32.82666415,-117.08148383333334,152.7
32.82636076666667,-117.08123801666666,152.1
32.825980316666666,-117.08055871666667,152.5
32.8256596,-117.07968761666666,156.2
32.825444,-117.07889081666667,158.1
32.825347316666665,-117.0783566,159.7
32.82531148333333,-117.07796763333333,162.3
32.825312583333336,-117.0773753,161.0
32.825352,-117.07686115,165.1
32.82537876666667,-117.07654646666667,166.7
32.825325383333336,-117.07622746666667,166.6
32.825242483333334,-117.07597896666667,165.8
32.82510416666667,-117.0758953,166.2
32.8251009,-117.07588726666667,167.6
32.82509955,-117.07589005,167.9
