Lat,Long,SignalStrength
32.82393388333333,-117.18232003333334,93.9
32.822115933333336,-117.18051213333334,109.6
32.82119623333333,-117.1770014,131.7
32.831878833333334,-117.17888273333334,101.4
32.8289517,-117.18221053333333,106.3
32.83459358333333,-117.17875691666667,101.0
32.82959331666667,-117.17893706666666,102.9
32.8254225,-117.1830226,92.4
32.82277366666667,-117.17993403333334,106.0
32.82173215,-117.17591466666667,108.2
32.82259145,-117.1750896,110.3
32.8226045,-117.17509286666666,109.5
32.827063433333336,-117.17567306666666,109.0
32.82706868333333,-117.17570133333334,109.9
32.834238283333335,-117.17877076666667,105.7
32.8342418,-117.1787708,105.7
